Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR6444192_1	SRR6444192_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19261.0	4.8 Mbp	0.0	248-251	51.0	3.7017808005814863	250.0053995119672	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444192_2	SRR6444192_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19261.0	4.8 Mbp	0.0	248-251	52.0	9.049374383469186	250.98888946575983	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444202_1	SRR6444202_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19979.0	4.9 Mbp	0.0	248-251	50.0	2.6177486360678714	250.03088242654786	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444202_2	SRR6444202_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19979.0	5 Mbp	0.0	248-251	50.0	6.86220531558136	250.987687071425	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444203_1	SRR6444203_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25898.0	6.4 Mbp	0.0	248-251	52.0	3.992586300100394	249.95254459803846	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444203_2	SRR6444203_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25898.0	6.4 Mbp	0.0	248-251	52.0	12.58012201714418	250.97420650243262	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444206_1	SRR6444206_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15125.0	3.7 Mbp	0.0	248-251	49.0	2.5983471074380167	249.98988429752066	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444206_2	SRR6444206_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15125.0	3.7 Mbp	0.0	248-251	50.0	7.028099173553719	250.98776859504133	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444216_1	SRR6444216_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26889.0	6.7 Mbp	0.0	248-251	50.0	2.4508163189408307	249.9439175871174	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444216_2	SRR6444216_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26889.0	6.7 Mbp	0.0	248-251	50.0	9.223102383874448	250.9752686972368	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444217_1	SRR6444217_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22806.0	5.7 Mbp	0.0	247-251	49.0	3.3982285363500835	249.9445759887749	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444217_2	SRR6444217_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22806.0	5.7 Mbp	0.0	248-251	50.0	7.677804086643866	250.982636148382	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444218_1	SRR6444218_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21115.0	5.2 Mbp	0.0	248-251	50.0	2.879469571394743	250.00421501302392	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444218_2	SRR6444218_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21115.0	5.2 Mbp	0.0	249-251	50.0	8.562633199147525	250.98782855789722	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444257_1	SRR6444257_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36363.0	9 Mbp	0.0	248-251	51.0	1.7077798861480076	250.01405274592307	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444257_2	SRR6444257_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36363.0	9.1 Mbp	0.0	248-251	52.0	4.900585760250804	250.98886230509035	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444265_1	SRR6444265_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26538.0	6.6 Mbp	0.0	248-251	52.0	2.924108825081016	250.02404099781447	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444265_2	SRR6444265_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26538.0	6.6 Mbp	0.0	248-251	52.0	7.58911749189841	250.98681136483532	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444279_1	SRR6444279_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34778.0	8.6 Mbp	0.0	170-251	51.0	2.766116510437633	249.92869055149808	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444279_2	SRR6444279_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34778.0	8.7 Mbp	0.0	248-251	51.0	5.753637356949795	250.98984990511244	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444288_1	SRR6444288_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19925.0	4.9 Mbp	0.0	248-251	49.0	2.6750313676286073	249.97952321204517	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444288_2	SRR6444288_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19925.0	5 Mbp	0.0	248-251	50.0	7.247176913425345	250.98624843161858	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444294_1	SRR6444294_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26873.0	6.7 Mbp	0.0	248-251	50.0	2.7797417482231235	250.01588955457152	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444294_2	SRR6444294_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26873.0	6.7 Mbp	0.0	249-251	50.0	7.528002083876009	250.9877572284449	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444311_1	SRR6444311_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17835.0	4.4 Mbp	0.0	248-251	50.0	3.319315951780207	249.94785534062237	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444311_2	SRR6444311_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17835.0	4.4 Mbp	0.0	248-251	51.0	7.765629380431735	250.9896832071769	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444312_1	SRR6444312_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14368.0	3.5 Mbp	0.0	248-251	49.0	3.166759465478842	249.9384047884187	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444312_2	SRR6444312_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14368.0	3.6 Mbp	0.0	248-251	50.0	8.442371937639198	250.98907293986636	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444314_1	SRR6444314_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29820.0	7.4 Mbp	0.0	248-251	50.0	2.595573440643863	249.97334004024145	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
