Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
SRR6444558_1	94.98011137629275	50.0	250.99379474940335	251	40.0	12570.0
SRR6444558_2	84.85282418456643	51.0	250.11145584725537	250	50.0	12570.0
SRR6444559_1	96.22784172057465	50.0	250.99298496177434	251	40.0	23806.0
SRR6444559_2	87.6627740905654	50.0	250.10677980341092	250	50.0	23806.0
SRR6444560_1	96.86328417895527	48.0	250.99137715571106	251	40.0	16004.0
SRR6444560_2	90.22119470132466	49.0	250.77743064233943	251	40.0	16004.0
SRR6444561_1	97.76246077876652	48.0	250.99295303739518	251	40.0	38882.0
SRR6444561_2	91.82912401625431	49.0	250.77802067794866	251	40.0	38882.0
SRR6444562_1	96.69480563687112	50.0	250.99387296616516	251	40.0	29378.0
SRR6444562_2	88.80454762066853	50.0	250.1009258628906	250	50.0	29378.0
SRR6444563_1	95.48792315152635	49.0	250.99182561307902	251	40.0	21653.0
SRR6444563_2	83.26328915161872	50.0	250.09425945596453	250	50.0	21653.0
SRR6444564_1	94.99102015038781	51.0	250.95381791628017	251	40.0	50669.0
SRR6444564_2	89.15313110580433	52.0	250.7759971580256	251	40.0	50669.0
SRR6444565_1	95.7525662594787	51.0	250.99183185819132	251	30.0	41013.0
SRR6444565_2	86.87489332650622	51.0	250.28532416550848	250	50.0	41013.0
SRR6444566_1	96.35464443824034	53.0	249.9334742551749	250	40.0	25073.0
SRR6444566_2	92.37825549395764	54.0	250.98723726717984	251	40.0	25073.0
SRR6444567_1	94.85475319244269	51.0	250.99186020461505	251	40.0	13391.0
SRR6444567_2	84.48211485325965	51.0	250.1003659174072	250	50.0	13391.0
SRR6444568_1	96.56381819043557	50.0	249.92573107730223	250	40.0	21099.0
SRR6444568_2	91.44983174558035	51.0	250.98848286648655	251	40.0	21099.0
SRR6444569_1	96.66416913704923	48.0	250.99025963449196	251	40.0	30697.0
SRR6444569_2	90.1847086034466	49.0	250.74548001433365	251	40.0	30697.0
SRR6444570_1	96.2888038840665	51.0	250.99194497572458	251	40.0	27188.0
SRR6444570_2	88.36986905987936	51.0	250.33658231572753	250	50.0	27188.0
SRR6444571_1	96.60560940552095	52.0	250.9951719308591	251	40.0	27133.0
SRR6444571_2	89.5993808277743	53.0	250.10065234216637	250	50.0	27133.0
SRR6444572_1	96.59970541226613	51.0	249.97900278918175	250	40.0	31909.0
SRR6444572_2	93.02704566109875	52.0	250.98771506471527	251	40.0	31909.0
SRR6444573_1	96.72572728361068	49.0	250.99449299652818	251	40.0	33412.0
SRR6444573_2	90.01855620735066	50.0	250.75805099964086	251	40.0	33412.0
SRR6444574_1	96.97556254536656	50.0	250.99310428260344	251	40.0	16532.0
SRR6444574_2	89.17251391241228	50.0	250.26391241229132	250	50.0	16532.0
SRR6444575_1	97.55717950900403	50.0	250.99186537128682	251	40.0	82241.0
SRR6444575_2	91.07014749334273	50.0	250.11930788779318	250	50.0	82241.0
SRR6444576_1	96.2181362306728	50.0	250.99296559409387	251	40.0	14358.0
SRR6444576_2	86.81571249477643	50.0	250.1206296141524	250	50.0	14358.0
SRR6444577_1	95.70144587729582	50.0	250.99509751678568	251	40.0	28149.0
SRR6444577_2	87.73668691605386	50.0	250.0926143024619	250	50.0	28149.0
SRR6444578_1	96.68342243144764	51.0	250.99316471182743	251	40.0	37599.0
SRR6444578_2	89.48642251123701	51.0	250.099843080933	250	50.0	37599.0
SRR6444579_1	97.25198609029997	49.0	250.99047242090978	251	40.0	35371.0
SRR6444579_2	92.20547906477057	50.0	250.09937519436826	250	50.0	35371.0
SRR6444580_1	96.10344102600043	49.0	250.99488401429673	251	40.0	28538.0
SRR6444580_2	88.05101969304086	50.0	250.0993412292382	250	50.0	28538.0
SRR6444581_1	96.39170590365809	50.0	249.95413799348063	250	40.0	22088.0
SRR6444581_2	91.27580586743933	50.0	250.98275081492213	251	40.0	22088.0
SRR6444582_1	95.22112362995324	52.0	250.99317850846938	251	40.0	26094.0
SRR6444582_2	87.89376868245574	52.0	250.12351498428757	250	50.0	26094.0
SRR6444583_1	96.38240446990861	50.0	250.99315781997254	251	40.0	42238.0
SRR6444583_2	90.89919030257114	50.0	250.74432975046167	251	40.0	42238.0
